WGS84 UTM 51N
579073 1453614
53.50577892176807 -27.3125355001539 1.2
26.9981127489591 -17.291894734371454 1.2
-39.33581324026454 39.517416182905436 1.2
-3.1855267616920173 -25.386526980903 1.2
-3.051620050217025 18.18888899567537 1.2
20.41549097909592 -53.45391100272536 1.2
-35.24706720968243 12.410989725030959 1.2
41.16984736523591 -34.22739336360246 1.2
30.782875871635042 -44.200121470494196 1.2
-19.70844554901123 36.201056986581534 1.2
-11.783861253643408 28.161521770758554 1.2
12.595254269428551 -44.03162495023571 1.2
-11.23370779468678 -15.843238906934857 1.2
-1.2218888392671943 48.807306185830384 1.2
-3.1514726653695107 -3.466198636451736 1.2
30.067067205207422 0.8437686311081052 1.2
-19.271076819859445 -6.288857750594616 1.2
33.501955915475264 -25.014804956270382 1.2
4.9386573599185795 -34.97383137606084 1.2
11.2173998671351 1.3310758406296372 1.2
-27.728539891308174 47.28172191022895 1.2
-17.039890262065455 12.961397452745587 1.2
-27.351730103837326 3.243280879687518 1.2
-51.06103540607728 31.31038831663318 1.2
43.9398693254916 -17.663065277738497 1.2
-24.240029700333253 21.600253314711154 1.2
20.472724450402893 -9.613284163177013 1.2
8.714500824338757 -17.654538075905293 1.2
36.51767642144114 -7.21108461660333 1.2
20.67328264634125 -33.94393791235052 1.2
-42.48815314332023 20.220257690176368 1.2
-31.57048229558859 30.3272107494995 1.2
-8.513225063099526 2.8665113437455148 1.2
5.16075811360497 30.533130820840597 1.2
-0.9406960408668965 37.79270711634308 1.2
